ensembl_id	gene_name	gene_exon_size	mean_TPM
ENSG00000173198.5	CYSLTR1	5571	1.846
ENSG00000152207.6	CYSLTR2	5372	1.44
ENSG00000108669.15	CYTH1	7754	131.276
ENSG00000105443.12	CYTH2	9509	17.225
ENSG00000008256.14	CYTH3	5808	2.431
ENSG00000100055.19	CYTH4	6161	165.166
ENSG00000115165.8	CYTIP	3428	251.971
ENSG00000170891.9	CYTL1	1003	0.627
ENSG00000166265.10	CYYR1	3266	0.756
ENSG00000228592.1	D21S2088E	1725	0.323
ENSG00000180902.15	D2HGDH	5279	26.525
ENSG00000168824.13	D4S234E	4355	10.191
ENSG00000100592.14	DAAM1	10712	1.485
ENSG00000146122.15	DAAM2	7445	0.691
ENSG00000173406.14	DAB1	7548	29.894
ENSG00000153071.13	DAB2	7717	1.428
ENSG00000136848.15	DAB2IP	8408	0.392
ENSG00000276644.3	DACH1	5389	3.136
ENSG00000126733.19	DACH2	7039	1.057
ENSG00000165617.13	DACT1	4490	0.621
ENSG00000164488.10	DACT2	4223	0.013
ENSG00000197380.9	DACT3	5361	0.201
ENSG00000129562.9	DAD1	808	293.472
ENSG00000173402.10	DAG1	6923	9.67
ENSG00000134780.8	DAGLA	5757	0.699
ENSG00000164535.13	DAGLB	5756	12.726
ENSG00000149476.13	DAK	8215	7.422
ENSG00000178149.15	DALRD3	3682	112.374
ENSG00000179284.5	DAND5	1997	0.452
ENSG00000110887.6	DAO	3883	0.638
ENSG00000232307.1	DAOA-AS1	2482	1.143
ENSG00000182346.16	DAOA	2295	0.739
ENSG00000112977.14	DAP	3361	44.196
ENSG00000132676.14	DAP3	4588	98.92
ENSG00000196730.11	DAPK1	8907	0.791
ENSG00000035664.10	DAPK2	13612	5.286
ENSG00000167657.10	DAPK3	3549	5.271
ENSG00000163331.9	DAPL1	1505	0.196
ENSG00000070190.11	DAPP1	4548	22.101
ENSG00000115866.9	DARS	4014	81.838
ENSG00000117593.9	DARS2	3689	19.041
ENSG00000204209.9	DAXX	3664	82.722
ENSG00000188120.13	DAZ1	4787	0.051
ENSG00000205944.10	DAZ2	4164	0.011
ENSG00000187191.13	DAZ3	3516	0.013
ENSG00000205916.9	DAZ4	4371	0.055
ENSG00000071626.15	DAZAP1	9201	45.557
ENSG00000183283.14	DAZAP2	5731	207.268
ENSG00000092345.12	DAZL	3631	0.264
ENSG00000006634.6	DBF4	4583	51.289
ENSG00000161692.16	DBF4B	7146	3.975
ENSG00000123454.9	DBH	2764	3.489
ENSG00000155368.15	DBI	2509	98.791
ENSG00000231784.7	DBIL5P	2677	0.295
ENSG00000242412.1	DBIL5P2	1692	0.098
ENSG00000113758.12	DBN1	5119	2.011
ENSG00000003249.12	DBNDD1	4791	0.546
ENSG00000244274.6	DBNDD2	2764	10.307
ENSG00000136279.17	DBNL	12587	29.478
ENSG00000105516.9	DBP	6544	3.578
ENSG00000138231.11	DBR1	3160	12.884
ENSG00000137992.13	DBT	11303	6.441
ENSG00000109851.6	DBX1	1380	0.058
ENSG00000185610.6	DBX2	2806	0.431
ENSG00000122741.14	DCAF10	8492	9.3
ENSG00000100897.16	DCAF11	6350	53.654
ENSG00000198876.11	DCAF12	4390	17.711
ENSG00000198889.4	DCAF12L1	3382	0.002
ENSG00000198354.5	DCAF12L2	1421	0.102
ENSG00000164934.12	DCAF13	9199	12.331
ENSG00000132017.9	DCAF15	2961	19.012
ENSG00000163257.9	DCAF16	4816	4.201
ENSG00000115827.12	DCAF17	7657	10.728
ENSG00000119599.15	DCAF4	5581	6.44
ENSG00000182308.6	DCAF4L1	4772	0.725
ENSG00000176566.4	DCAF4L2	3326	0.084
ENSG00000139990.16	DCAF5	8295	54.768
ENSG00000143164.14	DCAF6	6306	14.755
ENSG00000136485.13	DCAF7	6575	43.553
ENSG00000132716.17	DCAF8	7587	85.873
ENSG00000226372.2	DCAF8L1	3363	0
ENSG00000189186.9	DCAF8L2	4449	0.002
ENSG00000172992.10	DCAKD	2834	26.239
ENSG00000164465.17	DCBLD1	6819	27.436
ENSG00000057019.14	DCBLD2	11274	0.827
ENSG00000187323.10	DCC	13160	1.667
ENSG00000161634.10	DCD	876	0.093
ENSG00000170959.13	DCDC1	13160	1.108
ENSG00000146038.10	DCDC2	4996	1.956
ENSG00000222046.2	DCDC2B	1869	14.949
ENSG00000166341.7	DCHS1	10765	0.7
ENSG00000197410.11	DCHS2	16281	0.009
ENSG00000156136.8	DCK	3227	51.126
ENSG00000133083.13	DCLK1	14375	1.058
ENSG00000170390.13	DCLK2	4593	6.813
ENSG00000163673.6	DCLK3	5406	0.148
ENSG00000198924.6	DCLRE1A	4600	9.447
ENSG00000118655.4	DCLRE1B	3940	4.959
ENSG00000152457.16	DCLRE1C	6326	21.176
ENSG00000011465.15	DCN	12847	0.124
ENSG00000272886.4	DCP1A	6127	32.454
ENSG00000151065.12	DCP1B	4609	3.317
ENSG00000172795.14	DCP2	9951	35.443
ENSG00000110063.7	DCPS	3352	24.819
ENSG00000163357.9	DCST1	3193	1.9
ENSG00000163354.13	DCST2	3071	2.723
ENSG00000164935.5	DCSTAMP	2778	0.117
ENSG00000080166.14	DCT	7543	0.122
ENSG00000129187.13	DCTD	3466	54.22
ENSG00000204843.11	DCTN1	10439	37.789
ENSG00000175203.14	DCTN2	4217	72.673
ENSG00000137100.14	DCTN3	3740	33.922
ENSG00000132912.11	DCTN4	6417	33.909
ENSG00000166847.8	DCTN5	12740	21.034
ENSG00000104671.6	DCTN6	1984	110.799
ENSG00000179958.7	DCTPP1	1581	37.25
ENSG00000043093.12	DCUN1D1	8412	8.195
ENSG00000150401.13	DCUN1D2	4346	25.293
ENSG00000188215.8	DCUN1D3	6248	3.978
ENSG00000109184.13	DCUN1D4	7625	14.707
ENSG00000137692.10	DCUN1D5	1700	80.775
ENSG00000077279.15	DCX	10138	0.43
ENSG00000169738.6	DCXR	1902	68.836
ENSG00000130311.9	DDA1	4596	19.511
ENSG00000153904.17	DDAH1	5889	0.496
ENSG00000213722.7	DDAH2	2538	11.85
ENSG00000167986.12	DDB1	13950	27.223
ENSG00000134574.10	DDB2	4897	73.661
ENSG00000132437.16	DDC	3136	1.813
ENSG00000100523.13	DDHD1	17944	22.889
ENSG00000085788.12	DDHD2	10686	13.848
ENSG00000170967.4	DDI1	2609	0.589
ENSG00000197312.10	DDI2	12136	4.811
ENSG00000175197.9	DDIT3	1266	415.388
ENSG00000168209.4	DDIT4	2058	102.123
ENSG00000145358.5	DDIT4L	2994	0.649
ENSG00000181418.7	DDN	3749	0.258
ENSG00000203797.8	DDO	2130	0.81
ENSG00000244038.8	DDOST	2721	138.063
ENSG00000204580.10	DDR1	9122	1.244
ENSG00000162733.15	DDR2	10730	1.032
ENSG00000198171.11	DDRGK1	1832	42.783
ENSG00000099977.12	DDT	1753	42.422
ENSG00000099974.7	DDTL	1545	56.272
ENSG00000079785.13	DDX1	3833	43.49
ENSG00000178105.8	DDX10	8461	17.933
ENSG00000013573.15	DDX11	8374	13.909
ENSG00000223972.5	DDX11L1	1735	0.176
ENSG00000233614.6	DDX11L10	1723	0.122
ENSG00000236397.3	DDX11L2	1398	10.009
ENSG00000248472.7	DDX11L9	1740	0.826
ENSG00000214826.5	DDX12P	2947	14.548
ENSG00000100201.17	DDX17	9995	192.601
ENSG00000088205.11	DDX18	7851	29.263
ENSG00000168872.14	DDX19A	8249	17.31
ENSG00000157349.14	DDX19B	4522	33.576
ENSG00000064703.10	DDX20	6019	9.885
ENSG00000165732.11	DDX21	5020	109.851
ENSG00000174243.8	DDX23	5419	79.244
ENSG00000089737.14	DDX24	8636	105.932
ENSG00000109832.11	DDX25	9232	0.096
ENSG00000165359.13	DDX26B	7177	30.43
ENSG00000124228.13	DDX27	5457	56.224
ENSG00000182810.6	DDX28	2169	17.664
ENSG00000125485.16	DDX31	5546	1.627
ENSG00000123136.13	DDX39A	3840	74.661
ENSG00000198563.12	DDX39B	7007	215.593
ENSG00000215301.8	DDX3X	8881	187.686
ENSG00000067048.15	DDX3Y	5738	185.576
ENSG00000152670.17	DDX4	3829	1.063
ENSG00000183258.10	DDX41	4536	43.63
ENSG00000198231.11	DDX42	8521	29.697
ENSG00000080007.7	DDX43	2807	7.516
ENSG00000145833.14	DDX46	9222	38.095
ENSG00000213782.6	DDX47	5040	60.228
ENSG00000105671.10	DDX49	2780	30.58
ENSG00000108654.10	DDX5	7319	107.403
ENSG00000107625.11	DDX50	2692	26.614
ENSG00000185163.8	DDX51	6365	26.602
ENSG00000278053.3	DDX52	9546	8.824
ENSG00000184735.6	DDX53	3629	0.036
ENSG00000123064.11	DDX54	5064	31.94
ENSG00000111364.14	DDX55	5714	12.525
ENSG00000136271.9	DDX56	4068	60.362
ENSG00000107201.8	DDX58	4353	51.299
ENSG00000118197.12	DDX59	4470	23.162
ENSG00000110367.10	DDX6	11444	56.653
ENSG00000137628.15	DDX60	6750	9.876
ENSG00000181381.12	DDX60L	12156	34.734
ENSG00000177030.15	DEAF1	4452	17.81
ENSG00000104325.5	DECR1	3507	108.938
ENSG00000242612.5	DECR2	3947	2.322
ENSG00000158796.15	DEDD	2821	50.321
ENSG00000160570.12	DEDD2	2631	78.083
ENSG00000023892.10	DEF6	2545	446.012
ENSG00000140995.15	DEF8	6565	14.81
ENSG00000233531.1	DEFA10P	288	0
ENSG00000240247.5	DEFA1B	559	0.743
ENSG00000164821.4	DEFA4	617	0.027
ENSG00000164816.7	DEFA5	449	0.294
ENSG00000164822.4	DEFA6	469	0.013
ENSG00000164825.3	DEFB1	478	1.491
ENSG00000176797.3	DEFB103A	518	0.011
ENSG00000177023.2	DEFB104B	281	0.687
ENSG00000186599.7	DEFB105B	331	0.142
ENSG00000187082.2	DEFB106B	316	0.043
ENSG00000186572.2	DEFB107A	389	6.412
ENSG00000184276.2	DEFB108B	666	0.358
ENSG00000242296.2	DEFB109P1	265	4.596
ENSG00000203970.3	DEFB110	518	0.533
ENSG00000180872.4	DEFB112	342	0.15
ENSG00000214642.1	DEFB113	249	0.033
ENSG00000177684.3	DEFB114	253	0
ENSG00000215547.1	DEFB115	267	0.031
ENSG00000215545.1	DEFB116	309	0.435
ENSG00000131068.3	DEFB118	1158	0.209
ENSG00000180483.6	DEFB119	797	1.213
ENSG00000204548.3	DEFB121	630	0
ENSG00000204547.7	DEFB122	547	0.158
ENSG00000180424.6	DEFB123	467	1.593
ENSG00000180383.3	DEFB124	729	0.299
ENSG00000178591.6	DEFB125	1258	0.017
ENSG00000125788.5	DEFB126	655	0.214
ENSG00000088782.4	DEFB127	514	0
ENSG00000185982.6	DEFB128	373	0.011
ENSG00000125903.4	DEFB129	698	0.012
ENSG00000186146.1	DEFB131	213	3.935
ENSG00000186458.4	DEFB132	2121	0
ENSG00000214643.5	DEFB133	186	0
ENSG00000205882.7	DEFB134	1068	0
ENSG00000205883.2	DEFB135	234	0.563
ENSG00000205884.2	DEFB136	237	0
ENSG00000171711.2	DEFB4A	380	0.037
ENSG00000177257.2	DEFB4B	332	0.041
ENSG00000215378.3	DEFT1P	496	0
ENSG00000143753.11	DEGS1	2515	52.263
ENSG00000168350.7	DEGS2	4466	1.122
ENSG00000124795.13	DEK	4361	111.154
ENSG00000119522.14	DENND1A	10256	6.1
ENSG00000213047.10	DENND1B	13203	24.018
ENSG00000205744.8	DENND1C	4657	104.126
ENSG00000146966.11	DENND2A	5148	1.412
ENSG00000175984.13	DENND2C	7413	44.005
ENSG00000162777.15	DENND2D	5515	135.722
ENSG00000105339.9	DENND3	14670	5.737
ENSG00000174485.13	DENND4A	10593	80.041
ENSG00000198837.8	DENND4B	7584	102.374
ENSG00000137145.19	DENND4C	8745	21.735
ENSG00000184014.6	DENND5A	8648	15.257
ENSG00000170456.13	DENND5B	11310	0.393
ENSG00000139726.9	DENR	3576	72.641
ENSG00000024526.15	DEPDC1	5904	0.664
ENSG00000035499.11	DEPDC1B	3806	5.349
ENSG00000166153.15	DEPDC4	3118	0.431
ENSG00000100150.15	DEPDC5	8196	10.694
ENSG00000121690.8	DEPDC7	3326	1.173
ENSG00000155792.8	DEPTOR	2622	6.833
ENSG00000023697.11	DERA	2844	36.221
ENSG00000136986.8	DERL1	7081	58.371
ENSG00000072849.9	DERL2	6386	26.253
ENSG00000099958.13	DERL3	3796	1.802
ENSG00000175084.10	DES	2464	0.361
ENSG00000140543.12	DET1	2658	6.704
ENSG00000182108.8	DEXI	1722	97.929
ENSG00000160049.10	DFFA	6622	5.878
ENSG00000169598.14	DFFB	3870	6.608
ENSG00000105928.12	DFNA5	8897	0.94
ENSG00000095397.12	DFNB31	5542	9.472
ENSG00000204311.10	DFNB59	2457	4.219
ENSG00000185000.8	DGAT1	4131	50.942
ENSG00000062282.13	DGAT2	7905	0.801
ENSG00000184210.5	DGAT2L6	1553	1.621
ENSG00000273311.1	DGCR11	2214	5.909
ENSG00000100056.10	DGCR14	6003	19.922
ENSG00000070413.17	DGCR2	5636	33.446
ENSG00000237517.7	DGCR5	7448	2.62
ENSG00000183628.11	DGCR6	5262	1.073
ENSG00000128185.8	DGCR6L	1154	55.042
ENSG00000128191.12	DGCR8	7315	30.118
ENSG00000273032.1	DGCR9	2415	1.668
ENSG00000065357.18	DGKA	10215	134.456
ENSG00000136267.12	DGKB	9491	0.839
ENSG00000077044.8	DGKD	9771	39.926
ENSG00000153933.8	DGKE	10933	12.263
ENSG00000058866.13	DGKG	10978	2.765
ENSG00000102780.15	DGKH	19637	7.289
ENSG00000157680.14	DGKI	15549	2.48
ENSG00000274588.1	DGKK	7407	0.419
ENSG00000145214.12	DGKQ	4970	34.472
ENSG00000149091.14	DGKZ	10787	45.975
ENSG00000114956.18	DGUOK	1455	122.407
ENSG00000116133.10	DHCR24	4250	17.82
ENSG00000172893.14	DHCR7	4160	9.515
ENSG00000117682.15	DHDDS	5596	24.016
ENSG00000104808.6	DHDH	1081	2.576
ENSG00000228716.5	DHFR	4409	13.713
ENSG00000178700.6	DHFRL1	4659	0.389
ENSG00000139549.2	DHH	1936	0.264
ENSG00000102967.10	DHODH	6921	6.194
ENSG00000095059.14	DHPS	3006	63.901
ENSG00000157379.12	DHRS1	5002	13.383
ENSG00000278535.3	DHRS11	5462	2.792
ENSG00000102796.9	DHRS12	3525	19.751
ENSG00000167536.12	DHRS13	2944	19.867
ENSG00000100867.13	DHRS2	7556	0.072
ENSG00000162496.7	DHRS3	3036	32.311
ENSG00000157326.17	DHRS4	2305	31.087
ENSG00000225766.7	DHRS4L1	1373	81.465
ENSG00000187630.13	DHRS4L2	2516	26.166
ENSG00000100612.12	DHRS7	3248	59.504
ENSG00000109016.16	DHRS7B	5544	0.657
ENSG00000184544.10	DHRS7C	1006	1.012
ENSG00000073737.15	DHRS9	3750	1.03
ENSG00000181192.10	DHTKD1	5281	14.452
ENSG00000109606.11	DHX15	8162	25.47
ENSG00000204560.8	DHX16	4008	45.662
ENSG00000067248.8	DHX29	4734	29.228
ENSG00000132153.13	DHX30	7744	26.752
ENSG00000089876.10	DHX32	3948	16.449
ENSG00000005100.11	DHX33	5872	9.883
ENSG00000134815.17	DHX34	5696	5.592
ENSG00000101452.13	DHX35	4930	18.316
ENSG00000174953.12	DHX36	10562	28.544
ENSG00000150990.6	DHX37	6618	6.173
ENSG00000140829.10	DHX38	6361	10.903
ENSG00000108406.8	DHX40	5939	17.844
ENSG00000163214.19	DHX57	7985	4.983
ENSG00000108771.11	DHX58	3843	20.645
ENSG00000067596.9	DHX8	9302	30.71
ENSG00000135829.15	DHX9	5645	57.784
ENSG00000184047.14	DIABLO	5967	30.201
ENSG00000131504.14	DIAPH1	7082	118.797
ENSG00000147202.16	DIAPH2	9550	29.957
ENSG00000139734.16	DIAPH3	7259	1.305
ENSG00000100697.13	DICER1	12294	15.631
ENSG00000101191.15	DIDO1	13281	12.6
ENSG00000117597.16	DIEXF	10376	5.996
ENSG00000086189.8	DIMT1	3736	48.813
ENSG00000211452.9	DIO1	2282	4.057
ENSG00000211448.10	DIO2	7494	0.065
ENSG00000197406.7	DIO3	2102	0
ENSG00000258498.5	DIO3OS	5605	0
ENSG00000160305.16	DIP2A	13557	26.147
ENSG00000066084.11	DIP2B	10361	13.203
ENSG00000151240.14	DIP2C	8608	0.651
ENSG00000176490.4	DIRAS1	3485	0.032
ENSG00000165023.5	DIRAS2	4385	0.005
ENSG00000162595.4	DIRAS3	1973	0.007
ENSG00000174325.4	DIRC1	1037	0.004
ENSG00000138463.8	DIRC2	3596	8.864
ENSG00000231672.5	DIRC3	4665	14.299
ENSG00000083520.13	DIS3	10835	14.012
ENSG00000166938.11	DIS3L	5436	26.947
ENSG00000144535.18	DIS3L2	11337	16.817
ENSG00000162946.19	DISC1	12906	15.176
ENSG00000274121.1	DISC2	205	18.473
ENSG00000154309.8	DISP1	5382	17.117
ENSG00000140323.5	DISP2	12754	0.365
ENSG00000150764.12	DIXDC1	8509	0.459
ENSG00000130826.14	DKC1	4203	46.993
ENSG00000262075.3	DKFZP434A062	5021	0.032
ENSG00000261439.1	DKFZP434H168	1905	0.903
ENSG00000268471.4	DKFZP434I0714	3000	5.169
ENSG00000124915.9	DKFZP434K028	2889	0.013
ENSG00000225930.3	DKFZP434L187	4269	0.067
ENSG00000268460.1	DKFZp434J0226	5911	0.75
ENSG00000205106.4	DKFZp779M0652	649	0.668
ENSG00000107984.8	DKK1	2206	0.004
ENSG00000155011.7	DKK2	4319	0.956
ENSG00000050165.16	DKK3	5059	0.657
ENSG00000104371.4	DKK4	894	1.108
ENSG00000104901.5	DKKL1	1461	0.501
ENSG00000150768.14	DLAT	4831	13.496
ENSG00000164741.13	DLC1	10988	0.447
ENSG00000091140.11	DLD	5299	31.338
ENSG00000008226.18	DLEC1	8338	2.151
ENSG00000176124.10	DLEU1	11847	5.362
ENSG00000231607.7	DLEU2	5103	2.025
ENSG00000116652.6	DLEU2L	3555	0.766
ENSG00000186047.9	DLEU7	3656	4.607
ENSG00000075711.19	DLG1	11001	29.066
ENSG00000150672.15	DLG2	16089	9.01
ENSG00000082458.10	DLG3	7844	19.579
ENSG00000132535.17	DLG4	5746	2.301
ENSG00000151208.15	DLG5	10271	3.352
ENSG00000170579.13	DLGAP1	12106	9.699
ENSG00000198010.10	DLGAP2	10805	0.425
ENSG00000116544.10	DLGAP3	3977	0.757
ENSG00000080845.16	DLGAP4	8789	13.176
ENSG00000126787.11	DLGAP5	3667	4.909
ENSG00000185559.12	DLK1	5312	0.025
ENSG00000171462.13	DLK2	2236	4.367
ENSG00000198719.8	DLL1	3226	1.321
ENSG00000090932.9	DLL3	2618	0.242
ENSG00000128917.6	DLL4	4753	0.23
ENSG00000119689.13	DLST	4550	90.423
ENSG00000144355.13	DLX1	3656	0.002
ENSG00000115844.9	DLX2	2970	0.315
ENSG00000064195.7	DLX3	2715	0.054
ENSG00000108813.10	DLX4	3644	0.489
ENSG00000105880.4	DLX5	1895	0.22
ENSG00000231764.7	DLX6-AS1	16633	0.18
ENSG00000006377.10	DLX6	3449	0.046
ENSG00000178028.12	DMAP1	5599	37.149
ENSG00000187908.14	DMBT1	8073	0.02
ENSG00000197587.9	DMBX1	2896	0.013
ENSG00000100206.8	DMC1	3524	1.72
ENSG00000198947.13	DMD	18239	1.109
ENSG00000132837.13	DMGDH	5254	0.214
ENSG00000161249.19	DMKN	7444	0.42
ENSG00000152592.12	DMP1	2682	0.096
ENSG00000104936.16	DMPK	5807	6.371
ENSG00000137090.10	DMRT1	3253	1.088
ENSG00000173253.13	DMRT2	2925	1.873
ENSG00000064218.4	DMRT3	2387	0.062
ENSG00000176399.3	DMRTA1	5569	0.042
ENSG00000142700.10	DMRTA2	3225	0.024
ENSG00000143006.7	DMRTB1	2440	0.01
ENSG00000184911.13	DMRTC1B	1913	0.046
ENSG00000142025.14	DMRTC2	3389	0.058
ENSG00000135164.17	DMTF1	9417	55.413
ENSG00000185800.10	DMWD	5658	6.698
ENSG00000172869.13	DMXL1	13680	3.719
ENSG00000104093.12	DMXL2	13807	1.126
ENSG00000138346.13	DNA2	4867	2.41
ENSG00000154099.16	DNAAF1	7783	2.03
ENSG00000165506.13	DNAAF2	2963	16.799
ENSG00000114841.16	DNAH1	13872	19.559
ENSG00000197653.13	DNAH10	16720	0.824
ENSG00000105877.16	DNAH11	15998	2.691
ENSG00000174844.13	DNAH12	13275	0.353
ENSG00000185842.13	DNAH14	19693	0.066
ENSG00000187775.15	DNAH17	16108	3.788
ENSG00000183914.13	DNAH2	17231	0.107
ENSG00000158486.12	DNAH3	14960	0.456
ENSG00000039139.9	DNAH5	16475	0.062
ENSG00000115423.17	DNAH6	13514	0.452
ENSG00000118997.12	DNAH7	21324	0.989
ENSG00000124721.16	DNAH8	15055	0.333
ENSG00000007174.16	DNAH9	16980	0.831
ENSG00000122735.14	DNAI1	3615	1.178
ENSG00000171595.12	DNAI2	2851	2.951
ENSG00000086061.14	DNAJA1	2730	344.414
ENSG00000162699.5	DNAJA1P5	943	0.375
ENSG00000069345.10	DNAJA2	5065	58.737
ENSG00000103423.12	DNAJA3	7071	18.283
ENSG00000140403.11	DNAJA4	6591	16.761
ENSG00000132002.6	DNAJB1	3672	336.06
ENSG00000090520.9	DNAJB11	5959	45.493
ENSG00000148719.13	DNAJB12	5649	21.626
ENSG00000187726.7	DNAJB13	3475	32.634
ENSG00000164031.15	DNAJB14	13078	14.435
ENSG00000135924.14	DNAJB2	5886	10.289
ENSG00000227802.1	DNAJB3	1266	0
ENSG00000162616.8	DNAJB4	3783	22.294
ENSG00000137094.13	DNAJB5	5891	1.223
ENSG00000105993.13	DNAJB6	14981	3.639
ENSG00000172404.4	DNAJB7	2578	2.354
ENSG00000242049.1	DNAJB8-AS1	1798	0.359
ENSG00000179407.3	DNAJB8	3645	0.126
ENSG00000128590.4	DNAJB9	2837	47.771
ENSG00000136770.9	DNAJC1	2501	61.956
ENSG00000077232.15	DNAJC10	21826	9.799
ENSG00000007923.14	DNAJC11	5083	30.384
ENSG00000108176.13	DNAJC12	2121	1.607
ENSG00000138246.14	DNAJC13	9562	1.037
ENSG00000135392.14	DNAJC14	4190	9.851
ENSG00000120675.5	DNAJC15	8042	20.582
ENSG00000116138.11	DNAJC16	8563	11.876
ENSG00000104129.8	DNAJC17	5634	16.121
ENSG00000170464.8	DNAJC18	6499	4.097
ENSG00000205981.5	DNAJC19	3586	14.373
ENSG00000105821.13	DNAJC2	6564	36.972
ENSG00000168724.13	DNAJC21	9137	13.56
ENSG00000178401.13	DNAJC22	5006	0.05
ENSG00000170946.13	DNAJC24	7592	9.42
ENSG00000244115.1	DNAJC25-GNG10	1448	78.902
ENSG00000059769.18	DNAJC25	2586	23.376
ENSG00000224165.4	DNAJC27-AS1	5651	2.121
ENSG00000115137.10	DNAJC27	5624	9.858
ENSG00000177692.10	DNAJC28	2484	0.444
ENSG00000102580.13	DNAJC3	5591	51.115
ENSG00000176410.7	DNAJC30	2485	9.044
ENSG00000110011.12	DNAJC4	2807	45.392
ENSG00000101152.9	DNAJC5	5287	32.775
ENSG00000147570.8	DNAJC5B	2937	0.906
ENSG00000163793.11	DNAJC5G	2350	0.315
ENSG00000116675.14	DNAJC6	6954	1.34
ENSG00000168259.13	DNAJC7	9373	32.403
ENSG00000126698.9	DNAJC8	2888	95.555
ENSG00000213551.4	DNAJC9	3955	34.579
ENSG00000119661.13	DNAL1	8884	3.294
ENSG00000100246.11	DNAL4	2430	7.744
ENSG00000163879.10	DNALI1	4456	1.128
ENSG00000213918.9	DNASE1	13801	3.272
ENSG00000013563.12	DNASE1L1	4130	21.693
ENSG00000167968.11	DNASE1L2	2194	0.699
ENSG00000163687.12	DNASE1L3	3148	1.814
ENSG00000105612.7	DNASE2	2389	36.49
ENSG00000137976.7	DNASE2B	1476	0.599
ENSG00000256453.1	DND1	1605	45.934
ENSG00000187957.7	DNER	3935	1.694
ENSG00000179532.11	DNHD1	19629	1.863
ENSG00000213221.4	DNLZ	3144	4.478
ENSG00000106976.17	DNM1	8851	0.382
ENSG00000087470.16	DNM1L	7282	43.799
ENSG00000246877.1	DNM1P35	3188	0.682
ENSG00000280038.1	DNM1P41	3350	0.019
ENSG00000182397.13	DNM1P46	3979	0.521
ENSG00000079805.15	DNM2	13443	17.408
ENSG00000197959.12	DNM3	11329	2.363
ENSG00000230630.2	DNM3OS	4358	0.271
ENSG00000227695.4	DNMBP-AS1	2336	5.748
ENSG00000107554.14	DNMBP	7072	6.243
ENSG00000130816.13	DNMT1	9796	17.718
ENSG00000119772.15	DNMT3A	12020	10.114
ENSG00000088305.17	DNMT3B	4630	0.389
ENSG00000142182.7	DNMT3L	1859	2.095
ENSG00000123992.17	DNPEP	4734	11.897
ENSG00000107447.6	DNTT	1972	0.486
ENSG00000101457.11	DNTTIP1	1883	29.311
ENSG00000067334.12	DNTTIP2	7519	13.643
ENSG00000149927.16	DOC2A	6426	6.723
ENSG00000272636.3	DOC2B	6448	0.096
ENSG00000231793.4	DOC2GP	1579	3.4
ENSG00000150760.11	DOCK1	8142	0.529
ENSG00000135905.17	DOCK10	11065	46.851
ENSG00000147251.14	DOCK11	6664	110.785
ENSG00000134516.14	DOCK2	12890	38.562
ENSG00000088538.12	DOCK3	8755	6.29
ENSG00000128512.18	DOCK4	11348	0.087
ENSG00000147459.16	DOCK5	15960	4.363
ENSG00000130158.12	DOCK6	12435	0.199
ENSG00000116641.14	DOCK7	10943	0.392
ENSG00000107099.14	DOCK8	13784	68.266
ENSG00000088387.16	DOCK9	13945	12.277
ENSG00000129932.6	DOHH	2387	3.163
ENSG00000115325.12	DOK1	3049	15.949
ENSG00000147443.11	DOK2	2211	198.006
ENSG00000146094.12	DOK3	4821	4.022
ENSG00000125170.9	DOK4	4788	2.414
ENSG00000101134.10	DOK5	2604	3.118
ENSG00000206052.9	DOK6	9387	14.42
ENSG00000175920.14	DOK7	4031	0.089
ENSG00000175283.7	DOLK	2090	3.849
ENSG00000167130.16	DOLPP1	2249	10.509
ENSG00000159147.16	DONSON	3513	72.373
ENSG00000083097.13	DOPEY1	10045	14.381
ENSG00000142197.11	DOPEY2	9030	2.409
ENSG00000104885.16	DOT1L	11272	2.583
ENSG00000172269.15	DPAGT1	5280	12.783
ENSG00000166171.11	DPCD	1718	64.32
ENSG00000168631.10	DPCR1	5314	0.192
ENSG00000015413.8	DPEP1	2737	0.519
ENSG00000167261.12	DPEP2	3498	45.398
ENSG00000141096.4	DPEP3	2018	1.646
ENSG00000011332.18	DPF1	4800	1.709
ENSG00000133884.8	DPF2	7715	18.681
ENSG00000205683.10	DPF3	6889	1.158
ENSG00000108963.16	DPH1	5757	34.449
ENSG00000132768.12	DPH2	2930	19.356
ENSG00000154813.8	DPH3	3562	20.048
ENSG00000233838.5	DPH3P1	249	18.936
ENSG00000117543.18	DPH5	2970	42.007
ENSG00000000419.11	DPM1	1207	137.712
ENSG00000136908.16	DPM2	3133	34.021
ENSG00000179085.7	DPM3	622	10.16
ENSG00000175497.15	DPP10	10005	3.683
ENSG00000254986.6	DPP3	3977	27.068
ENSG00000197635.8	DPP4	5009	39.764
ENSG00000130226.15	DPP6	13574	2.917
ENSG00000176978.12	DPP7	2820	73.632
ENSG00000074603.17	DPP8	10211	8.672
ENSG00000142002.15	DPP9	8324	35.771
ENSG00000163530.4	DPPA2	1383	1.123
ENSG00000187569.2	DPPA3	1079	0.566
ENSG00000121570.11	DPPA4	4996	0.292
ENSG00000203909.3	DPPA5	679	0.019
ENSG00000204595.1	DPRX	648	0.039
ENSG00000264743.2	DPRXP4	568	3.304
ENSG00000143196.4	DPT	1786	0.526
ENSG00000173852.12	DPY19L1	5849	8.727
ENSG00000229358.3	DPY19L1P1	2594	47.789
ENSG00000177990.10	DPY19L2	5646	0.515
ENSG00000189212.11	DPY19L2P1	8272	0.487
